time,DE_BB,DE_BE,DE_BW,DE_BY,DE_HB,DE_HE,DE_HH,DE_MV,DE_NI,DE_NRW,DE_RP,DE_SH,DE_SL,DE_SN,DE_ST,DE_TH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0017,0.0001,0.007825,0.009814286,0,0.003033333,0,0,0.00015,6.00E-05,0.0026,0,0.0016,0.0062,0.0047,0.0062
8,0.0395,0.0239,0.091875,0.075228571,0.0158,0.089166667,0.0156,0.0129,0.035125,0.04728,0.1157,0.0085,0.073,0.110866667,0.0903,0.1125
9,0.087,0.0605,0.194725,0.149114286,0.0567,0.201566667,0.0539,0.0432,0.1194,0.16138,0.250466667,0.0306,0.1556,0.236866667,0.2165,0.211
10,0.1504,0.109,0.253375,0.204171429,0.0791,0.2985,0.1324,0.073,0.203725,0.20208,0.3401,0.0626,0.2442,0.281933333,0.3291,0.2525
11,0.2024,0.1644,0.26165,0.2196,0.0673,0.322133333,0.1137,0.1074,0.172525,0.19772,0.3701,0.0696,0.3496,0.261433333,0.3703,0.2907
12,0.2364,0.2457,0.2237,0.205042857,0.1081,0.2659,0.1189,0.0834,0.101775,0.15688,0.3563,0.0809,0.3362,0.266,0.2912,0.2916
13,0.1322,0.1373,0.158925,0.144357143,0.0707,0.158533333,0.1218,0.0685,0.0584,0.09634,0.2631,0.06,0.2682,0.1948,0.1226,0.1613
14,0.0228,0.0153,0.0701,0.0505,0.013,0.051733333,0.0175,0.0114,0.0172,0.03176,0.099033333,0.0072,0.1032,0.0427,0.0189,0.0247
