State,Latitude,Longitude,PV,Wind_offshore,Wind_onshore
DE_BB,52.592,13.442307692307695,3025,0,6304
DE_BE,52.549125,13.376999999999999,167,0,157
DE_BW,48.68053333333333,8.871549999999997,5367,0,895
DE_BY,48.799847826086946,11.178304347826087,11325,0,1739
DE_HB,53.107,8.82,11,0,43
DE_HE,50.49766666666667,8.90009523809524,1414,0,899
DE_HH,53.5215,10.0335,75,0,89
DE_MV,53.946799999999996,12.511999999999999,1236,336,2221
DE_NI,52.783215686274524,9.070333333333336,3683,1480,8669
DE_NRW,51.44666153846155,7.255830769230767,4150,0,3845
DE_RP,50.03042307692307,7.554461538461539,2417,0,3407
DE_SH,54.035333333333334,9.9152,1414,1447,5622
DE_SL,49.34558333333334,6.933583333333335,419,0,297
DE_SN,51.0379375,13.196875,1546,0,1162
DE_ST,51.87525000000001,11.773625000000001,1896,0,4590
DE_TH,50.858,11.233875000000001,1183,0,1297
