location,latitude,longitude
Bremen,53.12493044,8.68672853
Nordrhein-Westfalen,51.36823117,6.712267332
Nordrhein-Westfalen,53.52478497,9.900051078
Nordrhein-Westfalen,51.5036903,6.735907484
Brandenburg,52.16614052,14.61768224
Niedersachsen,52.15476492,10.40307531
Saarland,49.35213699,6.743652603
Nordrhein-Westfalen,51.42228298,6.741991278
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
